train_sup_loss,trainAccuracy,trainPrecision,trainF1,trainIoU,train_unsup_loss,epoch,step,val_sup_loss,valAccuracy,valPrecision,valF1,valIoU
0.2626167833805084,0.87939453125,0.8792277574539185,0.82743239402771,0.7168556451797485,0.02176053263247013,13,999,,,,,
0.15905842185020447,0.9469070434570312,0.9464787244796753,0.9030859470367432,0.8297551274299622,0.012408049777150154,13,1049,,,,,
0.181692972779274,0.9347343444824219,0.9385701417922974,0.8923308849334717,0.8123372793197632,0.025357559323310852,14,1099,,,,,
,,,,,,14,1124,0.36381736397743225,0.8604145646095276,0.8781633377075195,0.8361022472381592,0.7234334349632263
0.33947667479515076,0.8469429016113281,0.8393374085426331,0.766904354095459,0.6420823931694031,0.010205909609794617,15,1149,,,,,
0.2409844696521759,0.8703422546386719,0.8712184429168701,0.8250429630279541,0.7120183706283569,0.015313374809920788,15,1199,,,,,
0.1535794734954834,0.9471969604492188,0.9580152034759521,0.9053617715835571,0.8331447839736938,0.01711913011968136,16,1249,,,,,
0.16070017218589783,0.9499664306640625,0.9496708512306213,0.9246748685836792,0.8629719018936157,0.023960420861840248,17,1299,,,,,
0.17750170826911926,0.9356002807617188,0.9341262578964233,0.8901257514953613,0.809345006942749,0.020485976710915565,17,1349,,,,,
0.21587426960468292,0.9115219116210938,0.9098827242851257,0.8783454895019531,0.7888188362121582,0.024047255516052246,18,1399,,,,,
0.26357194781303406,0.8759193420410156,0.8798955678939819,0.8143932819366455,0.7007166743278503,0.018258363008499146,19,1449,,,,,
0.13794806599617004,0.9568634033203125,0.9563264846801758,0.9332242012023926,0.8774123787879944,0.02417270839214325,19,1499,,,,,
,,,,,,19,1499,0.25225621461868286,0.9050245881080627,0.9049265384674072,0.8883612155914307,0.8018580675125122
0.14171771705150604,0.9538803100585938,0.9550338983535767,0.9368127584457397,0.8829326629638672,0.008493393659591675,20,1549,,,,,
0.15619903802871704,0.9544296264648438,0.9565589427947998,0.9481445550918579,0.901962161064148,0.029419060796499252,21,1599,,,,,
0.21663013100624084,0.9170036315917969,0.9181367754936218,0.8731400966644287,0.7826554775238037,0.04322431609034538,21,1649,,,,,
0.23279371857643127,0.8864097595214844,0.8969270586967468,0.8311887979507446,0.7228966951370239,0.04949851706624031,22,1699,,,,,
0.37233108282089233,0.8325691223144531,0.8294428586959839,0.7598577737808228,0.6312384009361267,0.017028534784913063,23,1749,,,,,
0.23989129066467285,0.9059486389160156,0.9068300127983093,0.8987870216369629,0.8172653913497925,0.015279574319720268,23,1799,,,,,
0.26511910557746887,0.8832015991210938,0.8980552554130554,0.85936039686203,0.7579326629638672,0.01570981554687023,24,1849,,,,,
,,,,,,24,1874,0.2255931794643402,0.9174655079841614,0.9170160293579102,0.9053438901901245,0.8288090229034424
0.1639963835477829,0.9338455200195312,0.9356650710105896,0.8956855535507202,0.8170093297958374,0.03375568985939026,25,1899,,,,,
0.10367508977651596,0.9610443115234375,0.9615980982780457,0.9344251751899719,0.8798110485076904,0.025281749665737152,25,1949,,,,,
0.136400043964386,0.9530067443847656,0.9535976052284241,0.9362092018127441,0.8818508386611938,0.016204029321670532,26,1999,,,,,
0.27696236968040466,0.9069900512695312,0.9142863750457764,0.895783543586731,0.8129756450653076,0.015675298869609833,27,2049,,,,,
0.2549193203449249,0.9117889404296875,0.9167910814285278,0.8901360034942627,0.8055093884468079,0.023278674110770226,27,2099,,,,,
0.13813798129558563,0.9623680114746094,0.9621869325637817,0.9431867003440857,0.8943302631378174,0.022172698751091957,28,2149,,,,,
0.14337943494319916,0.9517059326171875,0.9504355192184448,0.8979781866073608,0.8230745196342468,0.027571644634008408,29,2199,,,,,
0.19571074843406677,0.9346427917480469,0.9336752891540527,0.89664226770401,0.8185157775878906,0.021977629512548447,29,2249,,,,,
